route_city,route_id,airline,airline_id,quarter,price,logp,passengers,logq,avg_hub,avg_pop
"ATL to DEN",68,"American Airlines (AA)",1,2,257,5.549076,20,2.995732,25.5,634
"ATL to DEN",68,"United (UA)",4,2,150,5.010635,1680,7.426549,36,634
"ATL to DEN",68,"Delta (DL)",2,2,44,3.78419,18710,9.836813,41,634
"ATL to DEN",68,"Other",3,2,139.25,4.936271,7450,8.915969,16.625,634
"ATL to DEN",68,"United (UA)",4,3,119,4.779123,1710,7.444249,35,634
"ATL to DEN",68,"Other",3,3,139.75,4.939855,7440,8.914626,18,634
"ATL to DEN",68,"Delta (DL)",2,3,38,3.637586,23330,10.0575,42,634
"ATL to DEN",68,"American Airlines (AA)",1,3,172,5.147494,80,4.382027,28.5,634
"ATL to DEN",68,"United (UA)",4,4,93,4.532599,3780,8.237479,33.5,634
"ATL to DEN",68,"Delta (DL)",2,4,58,4.060443,19480,9.877144,37.5,634
"ATL to DEN",68,"American Airlines (AA)",1,4,100,4.60517,250,5.521461,28,634
"ATL to DEN",68,"Other",3,4,78,4.356709,7230,8.885994,18,634
"ATL to ORD",90,"American Airlines (AA)",1,1,106,4.663439,18060,9.801455,41,1640.5
"ATL to ORD",90,"Delta (DL)",2,1,70,4.248495,75600,11.23321,41,1640.5
"ATL to ORD",90,"Other",3,1,52,3.951244,14610,9.589461,17,1640.5
"ATL to ORD",90,"United (UA)",4,1,96,4.564348,42900,10.66663,38.5,1640.5
"ATL to ORD",90,"Delta (DL)",2,2,47,3.850147,80640,11.29775,41,1640.5
"ATL to ORD",90,"Other",3,2,30,3.401197,13980,9.545383,14,1640.5
"ATL to ORD",90,"United (UA)",4,2,149,5.003946,12260,9.414097,35.5,1640.5
"ATL to ORD",90,"American Airlines (AA)",1,2,137,4.919981,11880,9.382611,31,1640.5
"ATL to ORD",90,"Other",3,3,78.5,4.363099,15580,9.653744,12.25,1640.5
"ATL to ORD",90,"Delta (DL)",2,3,32,3.465736,89200,11.39864,40,1640.5
"ATL to ORD",90,"American Airlines (AA)",1,3,97,4.574711,10920,9.298351,33,1640.5
"ATL to ORD",90,"United (UA)",4,3,110,4.70048,11080,9.312897,34.5,1640.5
"ATL to ORD",90,"Delta (DL)",2,4,42,3.73767,77920,11.26344,39.5,1640.5
"ATL to ORD",90,"United (UA)",4,4,153,5.030438,12280,9.415728,33,1640.5
"ATL to ORD",90,"Other",3,4,88,4.477337,14990,9.615139,16.66667,1640.5
"ATL to ORD",90,"American Airlines (AA)",1,4,121,4.795791,14900,9.609117,32.5,1640.5
"AUS to ORD",144,"American Airlines (AA)",1,2,116,4.75359,9390,9.147401,43,1772
"AUS to ORD",144,"United (UA)",4,2,227,5.42495,1190,7.081708,28.5,1772
"AUS to ORD",144,"Other",3,2,253,5.53339,360,5.886104,11.5,1772
"AUS to ORD",144,"Delta (DL)",2,2,400,5.991465,30,3.401197,29.5,1772
"BOS to DCA",229,"American Airlines (AA)",1,1,126,4.836282,7260,8.890135,42,561.5
"BOS to DCA",229,"Delta (DL)",2,1,134,4.89784,5560,8.623353,42.5,561.5
"BOS to DCA",229,"United (UA)",4,1,171,5.141664,12000,9.392662,36.5,561.5
"BOS to DCA",229,"Other",3,1,69,4.234107,47920,10.77729,38,561.5
"BOS to DCA",229,"Other",3,2,60,4.094345,32460,10.38776,34.5,561.5
"BOS to DCA",229,"Delta (DL)",2,2,110,4.70048,15180,9.627734,40.5,561.5
"BOS to DCA",229,"United (UA)",4,2,154,5.036952,9170,9.123693,31.5,561.5
"BOS to DCA",229,"American Airlines (AA)",1,2,106,4.663439,7310,8.896998,41.5,561.5
"BOS to DCA",229,"American Airlines (AA)",1,3,80,4.382027,6140,8.72258,40,561.5
"BOS to DCA",229,"Other",3,3,118,4.770685,24550,10.10847,15.83333,561.5
"BOS to DCA",229,"Delta (DL)",2,3,62,4.127134,5280,8.571681,40.5,561.5
"BOS to DCA",229,"United (UA)",4,3,75,4.317488,29600,10.29553,32.5,561.5
"BOS to DCA",229,"Other",3,4,136.6667,4.917545,31880,10.36973,16.66667,561.5
"BOS to DCA",229,"United (UA)",4,4,90,4.49981,29820,10.30293,34,561.5
"BOS to DCA",229,"American Airlines (AA)",1,4,80,4.382027,8500,9.047821,39,561.5
"BOS to DCA",229,"Delta (DL)",2,4,437,6.079933,11160,9.320091,40,561.5
"BOS to DEN",230,"Delta (DL)",2,1,206,5.327876,30,3.401197,40.5,709
"BOS to DEN",230,"United (UA)",4,1,126,4.836282,21150,9.959395,39.5,709
"BOS to DEN",230,"Other",3,1,272.5,5.607639,6140,8.72258,15.5,709
"BOS to DEN",230,"American Airlines (AA)",1,1,259,5.556828,10,2.302585,41,709
"BOS to LAS",237,"Delta (DL)",2,1,70,4.248495,8430,9.039552,39.5,552
"BOS to LAS",237,"American Airlines (AA)",1,1,127,4.844187,1520,7.326466,42.5,552
"BOS to LAS",237,"United (UA)",4,1,263,5.572154,10,2.302585,35,552
"BOS to LAS",237,"Other",3,1,220.3333,5.395142,12750,9.453286,27.33333,552
"BOS to LAX",238,"Other",3,1,196.6667,5.28151,8880,9.091557,21.66667,2207.5
"BOS to LAX",238,"American Airlines (AA)",1,1,118,4.770685,31950,10.37193,41.5,2207.5
"BOS to LAX",238,"Delta (DL)",2,1,147,4.990433,510,6.234411,39,2207.5
"BOS to LAX",238,"United (UA)",4,1,141,4.94876,11400,9.341369,36.5,2207.5
"BOS to LAX",238,"Delta (DL)",2,2,362,5.891644,50,3.912023,36.5,2207.5
"BOS to LAX",238,"Other",3,2,174.25,5.160491,6360,8.757784,19.875,2207.5
"BOS to LAX",238,"American Airlines (AA)",1,2,101,4.61512,19120,9.85849,41,2207.5
"BOS to LAX",238,"United (UA)",4,2,110,4.70048,8600,9.059518,32.5,2207.5
"BOS to LAX",238,"Other",3,3,206,5.327876,7810,8.963161,20.375,2207.5
"BOS to LAX",238,"American Airlines (AA)",1,3,132,4.882802,14980,9.614471,40.5,2207.5
"BOS to LAX",238,"Delta (DL)",2,3,157,5.056246,410,6.016157,37.5,2207.5
"BOS to LAX",238,"United (UA)",4,3,99,4.59512,7520,8.925322,31,2207.5
"BOS to LAX",238,"United (UA)",4,4,140,4.941642,8150,9.005774,31.5,2207.5
"BOS to LAX",238,"Delta (DL)",2,4,233,5.451038,410,6.016157,36.5,2207.5
"BOS to LAX",238,"American Airlines (AA)",1,4,142,4.955827,18000,9.798127,39.5,2207.5
"BOS to LAX",238,"Other",3,4,242.25,5.48997,3150,8.055158,20.25,2207.5
"BOS to SAN",259,"United (UA)",4,3,484,6.182085,60,4.094345,28.5,916.5
"BOS to SAN",259,"American Airlines (AA)",1,3,277,5.624018,3050,8.022897,41,916.5
"BOS to SAN",259,"Delta (DL)",2,3,277,5.624018,140,4.941642,35,916.5
"BOS to SAN",259,"Other",3,3,458,6.126869,10,2.302585,22,916.5
"BOS to SAN",259,"United (UA)",4,4,341,5.831882,40,3.688879,28.5,916.5
"BOS to SAN",259,"Other",3,4,334,5.811141,20,2.995732,25.5,916.5
"BOS to SAN",259,"Delta (DL)",2,4,285,5.652489,110,4.70048,34,916.5
"BOS to SAN",259,"American Airlines (AA)",1,4,282,5.641907,3590,8.185907,40,916.5
"BOS to SEA",262,"Delta (DL)",2,1,385,5.953243,30,3.401197,42,570
"BOS to SEA",262,"Other",3,1,177,5.17615,4160,8.33327,13.5,570
"BOS to SEA",262,"American Airlines (AA)",1,1,268,5.590987,3420,8.137396,39.5,570
"BOS to SEA",262,"United (UA)",4,1,5,1.609438,10,2.302585,39,570
"BOS to SEA",262,"Delta (DL)",2,4,247,5.509388,50,3.912023,32,570
"BOS to SEA",262,"American Airlines (AA)",1,4,242,5.488938,4210,8.345218,37.5,570
"BOS to SEA",262,"United (UA)",4,4,372,5.918894,10,2.302585,35,570
"BOS to SEA",262,"Other",3,4,243,5.493062,2880,7.965546,13.5,570
"BOS to SFO",263,"Delta (DL)",2,1,339,5.826,10,2.302585,37.5,656.5
"BOS to SFO",263,"American Airlines (AA)",1,1,195,5.273,16340,9.701371,42,656.5
"BOS to SFO",263,"United (UA)",4,1,259,5.556828,17920,9.793673,39,656.5
"BOS to SFO",263,"Other",3,1,113.3333,4.730333,3710,8.218787,21.5,656.5
"BOS to SFO",263,"Other",3,2,131.8,4.881286,5790,8.663888,21,656.5
"BOS to SFO",263,"United (UA)",4,2,114,4.736198,14430,9.577065,35,656.5
"BOS to SFO",263,"American Airlines (AA)",1,2,134,4.89784,15370,9.640173,41.5,656.5
"BOS to SFO",263,"Delta (DL)",2,2,169,5.129899,20,2.995732,35,656.5
"BWI to SEA",370,"Delta (DL)",2,2,349,5.855072,20,2.995732,31.5,603.5
